year,state,state_po,county_name,dem,rep,total,position
2020,ALABAMA,AL,AUTAUGA,7503.0,19838.0,27770.0,"[-86.64428573093824, 32.47345]"
2020,ALABAMA,AL,BALDWIN,24578.0,83544.0,109679.0,"[-87.78724848615917, 30.804699999999997]"
2020,ALABAMA,AL,BARBOUR,4816.0,5622.0,10518.0,"[-85.36121905561461, 31.9361]"
2020,ALABAMA,AL,BIBB,1986.0,7525.0,9595.0,"[-87.09643820465442, 33.02805]"
2020,ALABAMA,AL,BLOUNT,2640.0,24711.0,27588.0,"[-86.52380824417872, 34.0278]"
2020,ALABAMA,AL,BULLOCK,3446.0,1146.0,4613.0,"[-85.70714663375091, 32.0989]"
2020,ALABAMA,AL,BUTLER,3965.0,5458.0,9488.0,"[-86.67733982447935, 31.7043]"
2020,ALABAMA,AL,CALHOUN,15216.0,35101.0,50983.0,"[-85.86655465350523, 33.72135]"
2020,ALABAMA,AL,CHAMBERS,6365.0,8753.0,15284.0,"[-85.40068434343434, 32.9889]"
2020,ALABAMA,AL,CHEROKEE,1624.0,10583.0,12301.0,"[-85.62177224986186, 34.2432]"
2020,ALABAMA,AL,CHILTON,3073.0,16085.0,19310.0,"[-86.68480990168538, 32.8832]"
2020,ALABAMA,AL,CHOCTAW,3127.0,4296.0,7464.0,"[-88.26433726033552, 32.02595]"
2020,ALABAMA,AL,CLARKE,5755.0,7324.0,13135.0,"[-87.78690184540389, 31.56075]"
2020,ALABAMA,AL,CLAY,1267.0,5601.0,6930.0,"[-85.81419896936825, 33.29525]"
2020,ALABAMA,AL,CLEBURNE,675.0,6484.0,7227.0,"[-85.49410942650316, 33.7132]"
2020,ALABAMA,AL,COFFEE,5076.0,16899.0,22275.0,"[-85.99224474705889, 31.31825]"
2020,ALABAMA,AL,COLBERT,8343.0,19203.0,27886.0,"[-87.7842441448913, 34.6905]"
2020,ALABAMA,AL,CONECUH,2966.0,3442.0,6441.0,"[-86.99856390595357, 31.39125]"
2020,ALABAMA,AL,COOSA,1796.0,3631.0,5479.0,"[-86.2471978974053, 32.87165]"
2020,ALABAMA,AL,COVINGTON,2721.0,14586.0,17430.0,"[-86.44726781946956, 31.31615]"
2020,ALABAMA,AL,CRENSHAW,1700.0,4864.0,6617.0,"[-86.29793739877161, 31.723300000000002]"
2020,ALABAMA,AL,CULLMAN,4478.0,36880.0,41851.0,"[-86.87897675953079, 34.1088]"
2020,ALABAMA,AL,DALE,5170.0,14303.0,19738.0,"[-85.6034144786808, 31.4665]"
2020,ALABAMA,AL,DALLAS,12230.0,5524.0,17864.0,"[-87.1353785977308, 32.4119]"
2020,ALABAMA,AL,DEKALB,4281.0,24767.0,29356.0,"[-85.70444241009682, 34.55645]"
