state,electoral,rep,dem,fips
Alabama,9,9,-,01
Alaska,3,3,-,02
Arizona,11,11,-,04
Arkansas,6,6,-,05
California,55,-,55,06
Colorado,9,-,9,08
Connecticut,7,-,7,09
Delaware,3,-,3,10
District of Columbia,3,-,3,11
Florida,29,29,-,12
Georgia,16,16,-,13
Hawaii,4,-,3,15
Idaho,4,4,-,16
Illinois,20,-,20,17
Indiana,11,11,-,18
Iowa,6,6,-,19
Kansas,6,6,-,20
Kentucky,8,8,-,21
Louisiana,8,8,-,22
Maine,4,1,3,23
Maryland,10,-,10,24
Massachusetts,11,-,11,25
Michigan,16,16,-,26
Minnesota,10,-,10,27
Mississippi,6,6,-,28
Missouri,10,10,-,29
Montana,3,3,-,30
Nebraska,5,5,-,31
Nevada,6,-,6,32
New Hampshire,4,-,4,33
New Jersey,14,-,14,34
New Mexico,5,-,5,35
New York,29,-,29,36
North Carolina,15,15,-,37
North Dakota,3,3,-,38
Ohio,18,18,-,39
Oklahoma,7,7,-,40
Oregon,7,-,7,41
Pennsylvania,20,20,-,42
Rhode Island,4,-,4,44
South Carolina,9,9,-,45
South Dakota,3,3,-,46
Tennessee,11,11,-,47
Texas,38,36,-,48
Utah,6,6,-,49
Vermont,3,-,3,50
Virginia,13,-,13,51
Washington,12,-,8,53
West Virginia,5,5,-,54
Wisconsin,10,10,-,55
Wyoming,3,3,-,56
